time,foot
41.35878,Right,
41.93726,Left,
42.42466,Right,
42.99886,Left,
43.53559,Right,
44.11552,Left,
44.60139,Right,
45.12502,Left,
45.74896,Right,
46.34447,Left,
46.8315,Right,
47.36983,Left,
47.89521,Right,
48.4413,Left,
49.02012,Right,
49.5645,Left,
50.17028,Right,
50.71906,Left,
51.29576,Right,
51.83076,Left,
52.32172,Right,
52.89129,Left,
53.40469,Right,
53.94803,Left,
54.48925,Right,
55.04879,Left,
55.62477,Right,
56.14799,Left,
56.64586,Right,
57.31086,Left,
57.78325,Right,
58.36295,Left,
58.87465,Right,
59.48427,Left,
59.95872,Right,
60.6099,Left,
61.07503,Right,
61.70585,Left,
62.16248,Right,
62.84455,Left,
63.28458,Right,

time,foot
0.1332969,Left,
1.832809,Right,
3.199158,Left,
4.166225,Right,
5.115893,Left,
6.182578,Right,
7.365604,Left,
8.814958,Right,
10.9314,Left,
11.698,Right,
12.14663,Left,
12.47933,Right,
16.7959,Right,
17.29616,Left,
17.89381,Right,
18.39532,Left,
18.99345,Right,
19.46185,Left,
19.96152,Right,
20.56219,Left,
21.09422,Right,
21.72764,Left,
22.19444,Right,
22.89457,Left,
23.39281,Right,
23.97784,Left,
24.50922,Right,
25.21027,Left,
25.54342,Right,
26.20843,Left,
26.70959,Right,
27.30983,Left,
27.80939,Right,
28.40992,Left,
28.87693,Right,
29.3426,Left,
29.84281,Right,
30.47507,Left,
30.87571,Right,
31.30909,Left,
32.5415,Left,
32.70864,Right,
33.11459,Right,
33.67214,Left,
34.14328,Right,
34.73633,Left,
35.26933,Right,
35.90533,Left,
36.37413,Right,
36.99237,Left,
37.52085,Right,
38.09107,Left,
38.6082,Right,
39.2478,Left,
39.75813,Right,
40.43306,Left,
40.90529,Right,
41.44485,Left,
41.95323,Right,
42.55505,Left,
43.02683,Right,
43.61755,Left,
